"Date","Open","High","Low","Close","Volume","Value"
2010-01-04,17.5,18.7,17.5,18.4,7518612,137758485
2010-01-05,18.3,18.55,18.1,18.1,2808915,51459870
2010-01-06,18.1,18.4,18.05,18.25,2193850,39910063
2010-01-07,18.3,18.55,17.8,17.8,1101880,19999106
2010-01-08,17.8,18.15,17.65,17.9,854768,15337257
2010-01-11,17.9,18.8,17.9,18.45,4151999,76719612
2010-01-12,18.8,18.8,18.05,18.1,1647190,30097218
2010-01-13,18.1,18.1,17.55,17.65,1878192,33274570
2010-01-14,17.8,17.9,17.65,17.65,1082338,19210770
2010-01-15,17.7,18.35,17.7,18.25,2771692,50177191
2010-01-18,18.35,18.45,17.9,18.2,2921178,53106607
2010-01-19,18.45,19.45,18.45,19.45,7484507,144709713
2010-01-20,19.55,19.6,18.35,18.35,8466601,161580455
2010-01-21,18.3,18.45,17.9,17.9,3580643,64965850
2010-01-22,17.5,17.9,17.5,17.65,1902256,33684486
2010-01-25,17.5,17.65,17,17,1399878,24145681
2010-01-26,17.4,17.4,16.3,16.35,2109527,35330933
2010-01-27,16.35,16.55,16,16,1082417,17591971
2010-01-28,16,16.5,16,16.3,664935,10844340
2010-01-29,16.05,16.3,15.75,16.25,997198,15931104
2010-02-01,16.2,16.4,16.15,16.2,469599,7646431
2010-02-02,16.35,16.4,15.8,15.85,814378,13125086
2010-02-03,15.95,16.1,15.85,15.95,456665,7285452
2010-02-04,15.95,16.15,15.85,15.9,614237,9788152
2010-02-05,15.25,15.5,15,15,1457818,22219720
2010-02-06,15.4,15.4,14.7,15,630874,9461910
2010-02-08,15.15,15.4,15,15.4,355521,5404769
2010-02-09,15.45,15.65,15.2,15.45,784086,12124070
2010-02-10,15.7,15.7,15.5,15.6,430584,6712555
2010-02-22,16,16,15.6,15.6,326864,5126780
2010-02-23,15.8,15.8,15.5,15.7,260162,4056569
2010-02-24,15.7,15.7,15.4,15.55,569765,8818155
2010-02-25,15.55,15.6,15.3,15.3,291567,4489917
2010-02-26,15.3,15.45,15.3,15.35,194045,2976638
2010-03-01,15.3,15.65,15.25,15.6,464517,7183513
2010-03-02,15.75,15.85,15.65,15.65,284402,4473435
2010-03-03,15.8,15.85,15.65,15.7,442995,6983219
2010-03-04,15.95,16.05,15.75,15.8,788634,12528950
2010-03-05,16,16.1,15.7,15.7,584133,9248018
2010-03-08,16,16,15.7,15.8,277719,4393671
2010-03-09,15.8,15.9,15.7,15.7,229313,3619848
2010-03-10,15.75,15.85,15.7,15.85,344268,5420566
2010-03-11,15.8,16.2,15.8,15.85,915428,14656057
2010-03-12,16,16,15.75,15.85,317798,5033903
2010-03-15,15.9,15.95,15.6,15.65,291517,4586764
2010-03-16,15.7,15.75,15.6,15.75,204234,3201069
2010-03-17,15.75,16,15.75,15.9,542955,8619775
2010-03-18,16,16.1,15.9,16,444215,7109063
2010-03-19,16.1,16.15,15.9,16.05,345151,5535366
2010-03-22,16.05,16.1,15.75,15.85,444035,7072194
2010-03-23,15.9,16,15.8,15.85,336954,5349818
2010-03-24,16.2,16.6,16.05,16.3,2037221,33174870
2010-03-25,16.4,16.5,16.1,16.15,491705,7985997
2010-03-26,16.2,16.25,16.05,16.05,455964,7357674
2010-03-29,16.05,16.35,16.05,16.2,452920,7331553
2010-03-30,16.4,16.4,16.15,16.2,394298,6408539
2010-03-31,16.35,16.35,16.15,16.25,683170,11104439
2010-04-01,16.25,16.65,16.25,16.45,993320,16356975
2010-04-02,17.15,17.15,16.7,16.8,2066459,35003731
2010-04-06,16.8,16.85,16.6,16.6,676633,11317637
2010-04-07,16.45,16.75,16.45,16.55,602576,9968516
2010-04-08,16.5,16.65,16.4,16.45,661883,10945326
2010-04-09,16.45,16.6,16.4,16.5,334472,5524834
2010-04-12,16.95,17,16.6,16.8,869073,14577707
2010-04-13,16.7,16.8,16.45,16.55,516528,8583359
2010-04-14,16.55,16.75,16.55,16.65,412525,6864360
2010-04-15,16.8,16.9,16.65,16.75,1183950,19861705
2010-04-16,16.75,16.8,16.6,16.65,581616,9708821
2010-04-19,16.5,16.5,15.8,15.85,766741,12411238
2010-04-20,16,16,15.6,15.7,529436,8346394
2010-04-21,15.7,15.95,15.7,15.75,764718,12104764
2010-04-22,15.75,15.8,15.55,15.8,723175,11297690
2010-04-23,15.8,15.8,15.6,15.6,576146,9026060
2010-04-26,15.7,15.9,15.7,15.85,601094,9509573
2010-04-27,15.95,15.95,15.75,15.75,336536,5324706
2010-04-28,15.5,15.65,15.4,15.55,396335,6159103
2010-04-29,15.8,15.8,15.6,15.6,465581,7291628
2010-04-30,15.8,15.95,15.6,15.6,642992,10134974
