"V1","V2"
"1101","1935701"
"1102","842170"
"1103","169191"
"1104","284688"
"1108","247121"
"1109","114602"
"1110","129671"
"1201","1034701"
"1203","145379"
"1210","1783707"
"1213","43309"
"1215","1130915"
"1216","3732515"
"1217","232816"
"1218","580946"
"1219","725011"
"1220","197694"
"1225","690140"
"1227","853157"
"1229","284114"
"1231","284898"
"1232","1235711"
"1233","136954"
"1234","324473"
"1235","30656"
"1236","127358"
"1702","149424"
"1301","16925878"
"1303","18522589"
"1304","1053255"
"1305","785211"
"1307","628825"
"1308","596327"
"1309","948156"
"1310","1244610"
"1312","1527358"
"1313","813973"
"1314","3461781"
"1315","161367"
"1316","25742"
"1319","907322"
"1321","491121"
"1323","141263"
"1324","111994"
"1325","93835"
"1326","25548288"
"1715","344128"
"4306","371288"
"1402","4763950"
"1409","2264545"
"1410","22503"
"1413","372134"
"1414","474609"
"1416","15285"
"1417","87889"
"1418","386262"
"1419","45779"
"1423","93743"
"1432","2609"
"1434","2755116"
"1438","7636"
"1439","39661"
"1440","1393236"
"1441","136204"
"1443","105336"
"1444","883358"
"1445","178807"
"1446","66763"
"1447","2589575"
"1449","197344"
"1451","751314"
"1452","191291"
"1453","18520"
"1454","203828"
"1455","1580113"
"1456","181686"
"1457","384355"
"1459","278611"
"1460","308029"
"1463","54056"
"1464","144240"
"1465","121399"
"1466","468065"
"1467","300107"
"1468","42701"
"1469","63439"
"1470","82612"
"1472","84479"
"1473","598589"
"1474","311498"
"1475","55968"
"1476","735459"
"1477","1151484"
"4414","130444"
"4426","66575"
"1503","1265849"
"1504","1930401"
"1506","71966"
"1507","309084"
"1512","243101"
"1513","350030"
"1514","254860"
"1515","330566"
"1516","27500"
"1517","194473"
"1519","562317"
"1521","335118"
"1522","744550"
"1524","336704"
"1525","100273"
"1526","58898"
"1527","246451"
"1528","245135"
"1529","2537"
"1530","224477"
"1531","335524"
"1533","97009"
"1535","934124"
"1536","190571"
"1537","286544"
"1538","105218"
"1539","94142"
"1540","136467"
"1541","108375"
"1560","277629"
"1583","160551"
"2049","569863"
"2231","113442"
"4526","433819"
"4532","471120"
"6605","851979"
"8374","104883"
"1603","262351"
"1604","748160"
"1605","6960060"
"1608","954700"
"1609","820957"
"1611","508235"
"1612","553229"
"1613","545270"
"1614","542963"
"1615","363091"
"1616","321903"
"1617","470947"
"1618","350275"
"4930","74599"
"1704","2864831"
"1708","223276"
"1709","881102"
"1710","1224587"
"1711","607909"
"1712","588995"
"1713","47717"
"1714","909063"
"1717","1759911"
"1718","1774070"
"1721","201674"
"1722","1214571"
"1723","648702"
"1724","145105"
"1725","892458"
"1726","590600"
"1727","150234"
"1730","64798"
"1732","50114"
"1735","240793"
"1737","171055"
"1773","517492"
"4722","222565"
"4725","2221107"
"4733","92034"
"1701","267421"
"1707","169372"
"1720","177971"
"1729","75948"
"1731","213171"
"1733","150458"
"1734","142213"
"1736","585631"
"1762","104793"
"3164","27245"
"4104","264293"
"4106","140826"
"4108","1160"
"4119","74861"
"4133","41403"
"4142","53198"
"4737","83516"
"4746","182864"
"1802","1547544"
"1806","203817"
"1809","150090"
"1810","231300"
"1902","469860"
"1903","176822"
"1904","2121033"
"1905","693510"
"1906","24220"
"1907","1750941"
"1909","577877"
"1532","360161"
"2002","19355784"
"2006","2904874"
"2007","958772"
"2008","797374"
"2009","630896"
"2010","1411189"
"2012","341895"
"2013","772631"
"2014","4093736"
"2015","2899837"
"2017","465387"
"2020","524898"
"2022","249679"
"2023","2955889"
"2024","196310"
"2025","632750"
"2027","965330"
"2028","445602"
"2029","1599102"
"2030","1183987"
"2031","851415"
"2032","545982"
"2033","91524"
"2034","2037739"
"2038","1076547"
"3004","104842"
"5007","370435"
"9958","173667"
"2101","415422"
"2102","540549"
"2103","1416963"
"2104","490809"
"2105","1786215"
"2106","466705"
"2107","331351"
"2108","434807"
"2109","234214"
"2114","116569"
"2201","2452953"
"2204","2337775"
"2206","1649091"
"2207","7361797"
"2227","2368011"
"1437","153541"
"2302","27567"
"2303","9479926"
"2311","5349926"
"2325","5257234"
"2329","857132"
"2330","30823003"
"2337","2247331"
"2338","181498"
"2342","341740"
"2344","2445844"
"2351","596333"
"2363","240859"
"2369","581996"
"2379","2271279"
"2388","536326"
"2401","643440"
"2408","5257108"
"2425","485177"
"2434","68736"
"2436","221834"
"2441","1040885"
"2449","1180182"
"2451","2835616"
"2454","6578483"
"2458","505145"
"2481","452360"
"3006","803580"
"3014","398577"
"3016","71485"
"3034","3124423"
"3035","525101"
"3041","503382"
"3054","100744"
"3094","53177"
"3189","1068305"
"3257","41259"
"3443","783165"
"3474","4139814"
"3519","1202652"
"3532","803694"
"3545","446611"
"3559","84437"
"3579","61036"
"3583","49575"
"3588","102663"
"3598","451205"
"3686","236281"
"4919","683369"
"5305","859164"
"5471","372853"
"6145","2659272"
"6202","351802"
"6239","2911044"
"6243","150306"
"6257","402054"
"6271","435280"
"6286","982630"
"8016","460190"
"8081","451239"
"8110","591507"
"8131","1003073"
"8261","339536"
"8271","1414086"
"2301","8939781"
"2305","12017"
"2315","4417379"
"2324","75738043"
"2331","4901196"
"2352","5480434"
"2353","44426874"
"2356","24370603"
"2357","31714901"
"2358","51071"
"2361","78605"
"2362","969528"
"2364","172782"
"2365","805173"
"2376","4405114"
"2377","8666606"
"2380","258710"
"2382","89137139"
"2385","1662946"
"2387","162096"
"2395","1204862"
"2397","126056"
"2399","693266"
"2405","210384"
"2417","264197"
"2424","17572"
"2438","17750"
"2442","446231"
"2465","208912"
"2474","119198"
"3002","74900"
"3005","414998"
"3013","448433"
"3017","1023210"
"3022","283426"
"3046","168692"
"3057","129206"
"3060","554361"
"3231","48573464"
"3494","154014"
"3515","861593"
"3701","151656"
"4915","3095827"
"4938","33765411"
"6117","291590"
"6128","152102"
"6166","284723"
"6172","51218"
"6206","206637"
"6230","267474"
"6235","23585"
"6277","260161"
"8008","3928821"
"8114","192170"
"8210","173335"
"9912","49618"
"2323","1527426"
"2340","588199"
"2349","1357827"
"2374","5671992"
"2384","3113763"
"2393","1401031"
"2406","110291"
"2409","38800677"
"2426","301849"
"2443","128672"
"2448","1462303"
"2466","102486"
"2475","7060323"
"2486","413400"
"2489","5241931"
"2491","29296"
"2499","501579"
"3008","765220"
"3019","272346"
"3024","83961"
"3031","400539"
"3038","305760"
"3049","332915"
"3050","107038"
"3051","619900"
"3059","2644326"
"3061","319063"
"3149","135714"
"3356","104055"
"3383","160194"
"3406","118222"
"3454","139588"
"3481","38179670"
"3504","610157"
"3514","1950162"
"3535","17061"
"3536","86484"
"3557","194840"
"3561","559538"
"3573","370063"
"3576","1131764"
"3584","424987"
"3591","224754"
"3593","372083"
"3599","537045"
"3622","1583758"
"3669","305897"
"3698","554169"
"4934","224202"
"5234","229350"
"5484","153291"
"6116","5297905"
"6120","1613905"
"6131","105960"
"6164","122505"
"6168","305231"
"6176","221073"
"6209","218300"
"6225","78952"
"6226","75385"
"6278","441729"
"6289","116251"
"8072","240532"
"8105","1189239"
"8215","1669587"
"2314","605316"
"2321","462813"
"2332","257728"
"2345","1673501"
"2402","193604"
"2412","14620564"
"2419","393619"
"2439","512749"
"2444","207079"
"2450","1709535"
"2455","146487"
"2485","557103"
"2496","11510"
"2498","16382800"
"3025","75514"
"3027","123474"
"3045","4919846"
"3047","310795"
"3062","1471935"
"3311","402313"
"3380","1911158"
"3419","186387"
"3596","1518124"
"3694","691667"
"4904","4937120"
"4906","1491368"
"5388","729151"
"6136","71251"
"6142","1396701"
"6152","526026"
"6216","75713"
"6283","68281"
"6285","1649290"
"8011","132662"
"8078","987548"
"8101","1057039"
"1471","732456"
"1582","98292"
"2059","168566"
"2308","2292525"
"2313","1416057"
"2316","321756"
"2327","1026883"
"2328","406655"
"2355","1098873"
"2367","685319"
"2368","1114392"
"2375","30226"
"2383","415951"
"2392","2754622"
"2413","323967"
"2415","74086"
"2420","320894"
"2421","505337"
"2428","218483"
"2429","88298"
"2431","253204"
"2437","101249"
"2440","176816"
"2456","203830"
"2457","982401"
"2460","258236"
"2462","300701"
"2467","263447"
"2472","341201"
"2476","155045"
"2478","222421"
"2483","103396"
"2484","184481"
"2492","777029"
"2493","112669"
"3003","172421"
"3011","69233"
"3015","1301164"
"3023","205967"
"3026","1135786"
"3032","182567"
"3037","4073763"
"3042","621122"
"3044","382202"
"3058","410066"
"3090","246222"
"3229","92476"
"3296","337050"
"3308","422982"
"3376","326816"
"3432","161206"
"3501","385190"
"3533","532100"
"3550","239439"
"3605","246810"
"3607","492895"
"3645","91574"
"3653","228689"
"3679","208632"
"5469","182207"
"6108","221881"
"6115","587950"
"6133","86676"
"6141","82052"
"6153","471124"
"6155","60456"
"6165","65052"
"6191","2311363"
"6205","151096"
"6213","418494"
"6224","104097"
"6251","1009365"
"6269","332750"
"6282","1462639"
"8039","385428"
"8046","2998249"
"8103","117548"
"8163","1043240"
"8213","1205666"
"8249","449666"
"2347","3823383"
"2348","40484"
"2359","490521"
"2414","1320367"
"2430","1968716"
"2459","588610"
"3010","1466223"
"3028","2406204"
"3033","1562040"
"3036","5321356"
"3040","15224"
"3048","3578109"
"3055","544634"
"3209","713323"
"3312","1126663"
"3315","754697"
"3702","528047"
"5434","871627"
"6189","1638849"
"6281","826432"
"8070","1178254"
"8112","3647135"
"2427","123638"
"2453","371968"
"2468","119689"
"2471","75049"
"2480","317636"
"3021","36733"
"3029","281776"
"3130","93047"
"5203","457845"
"6112","313833"
"6183","89882"
"6214","774584"
"2312","2081280"
"2317","156966787"
"2354","10020639"
"2360","418819"
"2371","3026442"
"2373","217413"
"2390","71343"
"2404","353734"
"2423","131576"
"2433","113947"
"2461","49436"
"2464","381912"
"2477","269234"
"2482","64608"
"2488","102344"
"2495","202758"
"2497","59756"
"3018","26443"
"3030","331765"
"3043","352108"
"3052","142104"
"3305","302854"
"3450","202513"
"3518","20495"
"3617","228618"
"6139","250235"
"6192","386626"
"6196","444244"
"6197","437912"
