"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"1101","台泥","         22097145","         20889296","          1207849","                  0","              1228","          1101634","            107443","          8663589","            607711","          8163321","            132000","          8031321","                  0","                  0","                  0","                  0","          8031321","                  2.43"
"1102","亞泥","          9757253","          9167327","            589926","                  0","              9597","            570577","             28946","          9110241","          1286728","          7852459","            176149","          7676310","                  0","                  0","                  0","                  0","          7676310","                  2.50"
"1103","嘉泥","          1999499","          1927500","             71999","                  0","                  0","            232571","           -160572","            634371","            190792","            283007","            -76856","            359863","                  0","                  0","                  0","                  0","            359863","                  0.61"
"1104","環球水泥","          3143784","          2925982","            217802","                  0","                  0","            333027","           -115225","          1441024","            153689","          1172110","            -32073","          1204183","                  0","                  0","                  0","                  0","          1204183","                  1.99"
"1108","幸福水泥","          2760164","          2718764","             41400","                  0","                  0","            221034","           -179634","             94027","            141045","           -226652","            -36593","           -190059","                  0","                  0","                  0","                  0","           -190059","                 -0.47"
"1109","信大水泥","          1256041","          1238733","             17308","                101","                312","            105077","            -87558","            154016","             84281","            -17823","             -1472","            -16351","                  0","                  0","                  0","                  0","            -16351","                 -0.04"
"1110","東泥","          1447280","          1330205","            117075","                  0","                  0","             56482","             60593","            106574","            110281","             56886","              6479","             50407","                  0","                  0","                  0","                  0","             50407","                  0.09"
"1201","味全公司","         13237495","          8605431","          4632064","                  0","                  0","          3814571","            817493","          1104895","            252950","          1669438","             37320","          1632118","                  0","                  0","                  0","                  0","          1632118","                  3.23"
"1203","味王公司","          1936577","          1406483","            530094","                  0","                  0","            465843","             64251","             98531","             16980","            145802","             30361","            115441","                  0","                  0","                  0","                  0","            115441","                  0.49"
"1210","大成長城","         21033786","         19353147","          1680639","                  0","                  0","          1126252","            554387","            801721","            143384","          1212724","            132294","          1080430","                  0","                  0","                  0","                  0","          1080430","                  2.36"
"1213","大飲","            676948","            600581","             76367","                513","                300","             69616","              6538","              4745","             22716","            -11433","              2976","            -14409","                  0","                  0","                  0","                  0","            -14409","                 -0.28"
"1215","卜蜂企業","         14039428","         12949222","          1090206","                  0","                  0","            807958","            282248","            154136","             10217","            426167","             81499","            344668","                  0","                  0","                  0","                  0","            344668","                  1.49"
"1216","統一","         48962385","         37586806","         11375579","                  0","                  0","          9617639","          1757940","         10688116","          1321753","         11124303","            195264","         10929039","                  0","                  0","                  0","                  0","         10929039","                  2.55"
"1217","愛之味","          3620966","          2236758","          1384208","             13790","             20411","          1308218","             82611","            301920","            121367","            263164","             85619","            177545","                  0","                  0","                  0","                  0","            177545","                  0.40"
"1218","泰山企業","          7274610","          6618860","            655750","             13123","             12589","            681742","            -26526","            351090","             80550","            244014","              5441","            238573","                  0","                  0","                  0","                  0","            238573","                  0.75"
"1219","福壽實業","          9002239","          8251135","            751104","                  0","                830","            533560","            218374","             87110","             15815","            289669","             62543","            227126","                  0","                  0","                  0","                  0","            227126","                  0.80"
"1220","台榮","          2776781","          2540072","            236709","                  0","                  0","            142061","             94648","             57318","             20260","            131706","             19514","            112192","                  0","                  0","                  0","                  0","            112192","                  0.63"
"1225","福懋油","          8453141","          7970453","            482688","                  0","                  0","            296463","            186225","             59830","             36823","            209232","             29861","            179371","                  0","                  0","                  0","                  0","            179371","                  1.04"
"1227","佳格","         11423863","          6553315","          4870548","                  0","                  0","          2499660","          2370888","            241912","             36684","          2576116","            445530","          2130586","                  0","                  0","                  0","                  0","          2130586","                  5.79"
"1229","聯華實業","          3288363","          2780752","            507611","                  0","                  0","            287371","            220240","          1931000","             64781","          2086459","            101046","          1985413","                  0","                  0","                  0","                  0","          1985413","                  2.43"
"1231","聯華食品","          4433650","          3146797","          1286853","                  0","                135","            954416","            332572","             67823","             24043","            376352","             70761","            305591","                  0","                  0","                  0","                  0","            305591","                  2.65"
"1232","大統益","         15629027","         14525227","          1103800","                  0","                  0","            323262","            780538","             91401","             60871","            811068","            141066","            670002","                  0","                  0","                  0","                  0","            670002","                  4.19"
"1233","天仁","          1870036","            764239","          1105797","                  0","                  0","            909492","            196305","             60799","              9701","            247403","             37506","            209897","                  0","                  0","                  0","                  0","            209897","                  2.32"
"1234","黑松","          4414196","          3163853","          1250343","             14728","             15634","          1093611","            157638","            233982","              6593","            385027","             54200","            330827","                  0","                  0","                  0","                  0","            330827","                  0.62"
"1235","興泰","            398951","            358904","             40047","                  0","                  0","             58009","            -17962","             44509","              8855","             17692","              2602","             15090","                  0","                  0","                  0","                  0","             15090","                  0.29"
"1236","宏亞食品","          2069991","          1420738","            649253","                  0","                -46","            470511","            178696","             14925","              7720","            185901","             40811","            145090","                  0","                  0","                  0","                  0","            145090","                  1.58"
"1301","台塑","        194445986","        158783808","         35662178","                  0","            -31227","          8977757","         26653194","         26395629","          1834736","         51214087","          5667656","         45546431","                  0","                  0","                  0","                  0","         45546431","                  7.44"
"1303","南亞塑膠","        212248560","        173451898","         38796662","            -20043","                  0","         12300983","         26515722","         22919427","          2971909","         46463240","          5489443","         40973797","                  0","                  0","                  0","                  0","         40973797","                  5.22"
"1304","台聚","         12591063","          9853124","          2737939","              6363","                  0","            532847","          2198729","          1290216","            117706","          3371239","            428852","          2942387","                  0","                  0","                  0","                  0","          2942387","                  3.62"
"1305","華夏","          8490360","          7895112","            595248","                273","                  0","            561669","             33306","            101265","             95512","             39059","             34527","              4532","                  0","                  0","                  0","                  0","              4532","                  0.01"
"1307","三芳化工","          6119985","          4937494","          1182491","                  0","             13025","            829530","            365986","            797073","             85234","          1077825","             97549","            980276","                  0","                  0","                  0","                  0","            980276","                  3.14"
"1308","亞聚","          6336758","          4606081","          1730677","                  0","                  0","            235189","          1495488","            297880","             38473","          1754895","            302079","          1452816","                  0","                  0","                  0","                  0","          1452816","                  4.64"
"1309","台達化工","         11086406","         10041198","          1045208","                  0","                  0","            582782","            462426","            256827","            163997","            555256","             29019","            526237","                  0","                  0","                  0","                  0","            526237","                  1.89"
"1310","台苯","         13061998","         13275476","           -213478","                  0","                  0","            129908","           -343386","            816154","            382685","             90083","             63654","             26429","                  0","                  0","                  0","                  0","             26429","                  0.05"
"1312","國喬石化","         16543108","         15710982","            832126","              3407","              2233","            342113","            488839","          1736077","            169626","          2055290","            -23448","          2078738","                  0","                  0","                  0","                  0","          2078738","                  2.31"
"1313","聯成","          8460967","          7376075","          1084892","                  0","                  0","            454074","            630818","          2261683","             39878","          2852623","            159219","          2693404","                  0","                  0","                  0","                  0","          2693404","                  2.66"
"1314","中石化","         39148718","         33590996","          5557722","              2331","               -116","            873103","          4682172","          3919563","          1621529","          6980206","            656897","          6323309","                  0","                  0","                  0","                  0","          6323309","                  3.52"
"1315","達新工業","          2368666","          2046451","            322215","                  0","                  0","            268969","             53246","            412774","            226600","            239420","             29058","            210362","                  0","                  0","                  0","                  0","            210362","                  0.99"
"1316","上曜","            199617","            192789","              6828","                  0","                  0","             46600","            -39772","             30305","             12791","            -22258","                 76","            -22334","                  0","                  0","                  0","                  0","            -22334","                 -0.34"
"1319","東陽","         10552423","          7793398","          2759025","             41103","             45773","          1823080","            940615","            841493","            358479","          1423629","            237454","          1186175","                  0","                  0","                  0","                  0","          1186175","                  2.51"
"1321","大洋","          5348005","          5021692","            326313","                  0","                  0","            313628","             12685","             20842","            159038","           -125511","              9487","           -134998","                  0","                  0","                  0","                  0","           -134998","                 -0.61"
"1323","永裕","          1641085","          1291278","            349807","              2444","                806","            184517","            163652","             67071","              9429","            221294","             24831","            196463","                  0","                  0","                  0","                  0","            196463","                  2.38"
"1324","地球工業","          1411910","          1147126","            264784","              1320","                  0","            176278","             87186","              4552","             13194","             78544","             18230","             60314","                  0","                  0","                  0","                  0","             60314","                  0.80"
"1325","恒大","          1131459","            885000","            246459","                  0","                  0","             65311","            181148","              8553","             14802","            174899","             24903","            149996","                  0","                  0","                  0","                  0","            149996","                  1.59"
"1326","台化","        283121200","        250264810","         32856390","            205796","            185087","          7357831","         25477850","         26987950","          2100917","         50364883","          3089707","         47275176","                  0","                  0","                  0","                  0","         47275176","                  8.33"
"1339","昭輝","          1060219","            760644","            299575","                  0","                  0","            147177","            152398","              3517","             54737","            101178","              8716","             92462","                  0","                  0","                  0","                  0","             92462","                  1.64"
"1402","遠東新","         53758879","         47759684","          5999195","                  0","                  0","          5224342","            774853","         13775287","          1540940","         13009200","            159030","         12850170","                  0","                  0","                  0","                  0","         12850170","                  2.70"
"1409","新纖","         25315628","         23044919","          2270709","                  0","                  0","          1066959","          1203750","          1400640","            346369","          2258021","            371306","          1886715","                  0","                  0","                  0","                  0","          1886715","                  1.21"
"1410","南染","            326031","            224380","            101651","                  0","                  0","             51210","             50441","             46232","              1422","             95251","              4690","             90561","                  0","                  0","                  0","                  0","             90561","                  1.01"
"1413","宏洲纖維","          4255446","          3968247","            287199","                  0","                  0","            126127","            161072","             10119","             22103","            149088","             29967","            119121","                  0","                  0","                  0","                  0","            119121","                  0.71"
"1414","東和","          1366225","          1101594","            264631","                  0","                  0","             60590","            204041","            322772","             22521","            504292","              8740","            495552","            -40552","                  0","                  0","                  0","            455000","                  2.07"
"1416","廣豐","            253675","            207683","             45992","                  0","                  0","            103353","            -57361","            318756","             36812","            224583","                  0","            224583","                  0","                  0","                  0","                  0","            224583","                  0.63"
"1417","嘉裕","          1229346","            760376","            468970","                  0","                  0","            544634","            -75664","            347231","             34537","            237030","             86067","            150963","                  0","                  0","                  0","                  0","            150963","                  0.40"
"1418","東華","          3297501","          3112308","            185193","                  0","                  0","            184476","                717","             17970","             30473","            -11786","             24208","            -35994","                  0","                  0","                  0","                  0","            -35994","                 -0.30"
"1419","新紡","            781690","            567283","            214407","                  0","                  0","            199105","             15302","            285603","             66886","            234019","              4165","            229854","                  0","                  0","                  0","                  0","            229854","                  0.77"
"1423","利華羊毛","          1099224","          1079132","             20092","                  0","                  0","             47532","            -27440","             38429","             23711","            -12722","              3130","            -15852","                  0","                  0","                  0","                  0","            -15852","                 -0.09"
"1432","大魯閣實業","          1236267","            440998","            795269","                  0","                  0","             40214","            755055","             73095","             19317","            808833","                  0","            808833","                  0","                  0","                  0","                  0","            808833","                  9.53"
"1434","福懋興業","         32816551","         29020400","          3796151","                  0","                  0","          1990595","          1805556","          3127455","            326073","          4606938","            516794","          4090144","                  0","                  0","                  0","                  0","          4090144","                  2.43"
"1435","中福國際","             34935","             14687","             20248","                  0","                  0","             30030","             -9782","            445978","            102434","            333762","              3688","            330074","                  0","                  0","                  0","                  0","            330074","                  2.63"
"1436","華友聯","             14364","              6650","              7714","                  0","                  0","             61671","            -53957","            445362","            132264","            259141","                 14","            259127","                  0","                  0","                  0","                  0","            259127","                  0.82"
"1437","勤益投控","          1733100","          1661273","             71827","                  0","                  0","             71582","                245","            185934","             12420","            173759","             14327","            159432","                  0","                  0","                  0","                  0","            159432","                  0.78"
"1438","裕豐","            131402","             64198","             67204","                  0","                  0","             21395","             45809","            553163","             27971","            571001","                  0","            571001","                  0","                  0","                  0","                  0","            571001","                  5.58"
"1439","中和羊毛","            492728","            481052","             11676","                  0","                  0","             49481","            -37805","          2052812","              1183","          2013824","             18995","          1994829","                  0","                  0","                  0","                  0","          1994829","                 21.68"
"1440","南紡","         15639484","         13247323","          2392161","                  0","                  0","          1074195","          1317966","          1925862","            106495","          3137333","            494023","          2643310","                  0","                  0","                  0","                  0","          2643310","                  1.74"
"1441","大東紡織","          1592271","          1390703","            201568","                  0","                  0","            160031","             41537","            193304","             79401","            155440","             -6473","            161913","                  0","                  0","             -1135","                  0","            160778","                  2.46"
"1442","名軒","          1487709","            910841","            576868","                  0","                  0","            134499","            442369","             10747","             10399","            442717","             22867","            419850","                  0","                  0","                  0","                  0","            419850","                  2.43"
"1443","立益紡織","          1555255","          1391216","            164039","                  0","                  0","             43868","            120171","             59040","            156824","             22387","                  0","             22387","                  0","                  0","                  0","                  0","             22387","                  0.08"
"1444","力麗","         10081870","          8535208","          1546662","             -1896","                  0","            557643","            990915","            741278","             54217","          1677976","             69150","          1608826","                  0","                  0","                  0","                  0","          1608826","                  2.11"
"1445","大宇紡織","          2167935","          2028828","            139107","                  0","                  0","            159860","            -20753","            144009","              9003","            114253","              2998","            111255","                  0","                  0","                  0","                  0","            111255","                  0.79"
"1446","宏和","            918696","            849565","             69131","                  0","                  0","             66760","              2371","             44455","            242645","           -195819","             34981","           -230800","                  0","                  0","                  0","                  0","           -230800","                 -1.66"
"1447","力鵬","         24073646","         22734205","          1339441","                  0","                  0","            621833","            717608","            537501","            146844","          1108265","             94000","          1014265","                  0","                  0","                  0","                  0","          1014265","                  1.69"
"1449","佳和實業","          2023339","          1995107","             28232","                  0","                  0","            250068","           -221836","             82816","            141606","           -280626","                  0","           -280626","                  0","                  0","                  0","                  0","           -280626","                 -1.98"
"1451","年興紡織","         10018204","          9014705","          1003499","                  0","                  0","            619984","            383515","          1524977","            163551","          1744941","            302260","          1442681","                  0","                  0","                  0","                  0","          1442681","                  2.50"
"1452","宏益","          2152629","          1910795","            241834","                  0","                  0","             80958","            160876","            126814","             23472","            264218","             30247","            233971","                  0","                  0","                  0","                  0","            233971","                  1.83"
"1453","大將","            458025","            392802","             65223","                  0","                  0","             35188","             30035","              9867","             16978","             22924","              2900","             20024","                  0","                  0","                  0","                  0","             20024","                  0.49"
"1454","台富","          2539862","          2366404","            173458","                  0","                  0","            151428","             22030","             16574","             15150","             23454","             13943","              9511","                  0","                  0","                  0","                  0","              9511","                  0.08"
"1455","集盛","         17283601","         15974528","          1309073","                  0","                  0","            429731","            879342","            308288","             86938","          1100692","            164827","            935865","                  0","                  0","                  0","                  0","            935865","                  1.91"
"1456","怡華","          2089282","          2073753","             15529","                  0","                  0","            153837","           -138308","             54030","             67819","           -152097","             11572","           -163669","                  0","                  0","                  0","                  0","           -163669","                 -1.00"
"1457","宜進","          4301184","          3965503","            335681","                  0","                  0","            144275","            191406","            167416","             75802","            283020","              9000","            274020","                  0","                  0","                  0","                  0","            274020","                  1.38"
"1459","聯發紡織","          3359552","          2955584","            403968","                  0","                  0","            127868","            276100","            428415","             45620","            658895","             31803","            627092","                  0","                  0","                  0","                  0","            627092","                  2.14"
"1460","宏遠","          4808243","          4050732","            757511","                  0","                  0","            679930","             77581","             51621","          1526566","         -1397364","             17955","         -1415319","                  0","                  0","                  0","                  0","         -1415319","                 -3.24"
"1463","強盛染整","            581756","            528193","             53563","                  0","                  0","             81368","            -27805","             37128","                 90","              9233","                  0","              9233","                  0","                  0","                  0","                  0","              9233","                  0.06"
"1464","得力實業","          1776019","          1496005","            280014","                  0","                  0","            279892","                122","             40849","             25083","             15888","            -10476","             26364","                  0","                  0","                  0","                  0","             26364","                  0.17"
"1465","偉全實業","          1464036","          1305028","            159008","                  0","              1258","            190784","            -30518","            281656","             23412","            227726","              9998","            217728","                  0","                  0","                  0","                  0","            217728","                  2.52"
"1466","聚隆","          5666746","          4969775","            696971","                  0","                  0","            295876","            401095","             14896","            125252","            290739","              6408","            284331","                  0","                  0","                  0","                  0","            284331","                  3.86"
"1467","南緯實業","          4032142","          3531448","            500694","             13117","             18627","            367836","            138368","            116283","             85854","            168797","              2992","            165805","                  0","                  0","                  0","                  0","            165805","                  1.01"
"1468","昶和纖維","            660567","            692235","            -31668","              7323","              6640","            130442","           -162793","             25572","            117471","           -254692","              5104","           -259796","                  0","                  0","                  0","                  0","           -259796","                 -1.62"
